Address,Status,Bought Amount (ALPH),Remaining (ALPH)
16Wom622aJw4eZPDpwnttqGTXH3pp5dXtvGru8cvnrXgW,Fully Allocated,158.2940,0.0000
12p92BdqTE9hrVuNNzEeUyfcEDBhkU43uDeVytiFuPrrf,Under Bought,108.2940,50.0001
1BWG1e9JvexBt7JQHgjWNUZhxUqaLrcqJwbtzaY4jQw96,No Purchase,0.0000,158.2941
148iCVVcbf5krHPbvMG4Btn6rZzUXLdhqUzUgsPumgaKr,Fully Allocated,158.2940,0.0000
1dtjuCALuPvdrceS1JAx8c74TKmrpAZP6bKyAvsB1mgM,Fully Allocated,158.2940,0.0000
12MSaJr9QTCBHrb6tqA7ixigfAD82u5cpocs3n3kGXfYs,Fully Allocated,158.2940,0.0000
1E4c3YB155XL8bATNbdy4Bq7qqfiotBc7HmWqJL5ufT5b,Fully Allocated,158.2940,0.0000
1CKff41U2Mi3JQofSrvoP1UhTz9j5uArAmJWM1rChwR6n,Fully Allocated,158.2940,0.0000
1DPA6kvh33HpuDZW4Ne7UM3TXhcDW1kwJ5ahnReMgT2rX,Fully Allocated,158.2940,0.0000
18WXZgmSQLxbxJENnUvfghggyzqVzzMfQEoN2hS4NByik,Fully Allocated,158.2940,0.0000
157RxGdamVDjK5vmCDfdAjVn32wGrPJfksjunCwe1W1mn,Fully Allocated,158.2940,0.0000
1FyxqjHemw4CBoHAxCuKufQxzhSkYb4nFFJZwCvqYpw4d,Fully Allocated,158.2940,0.0000
1FtcZM2xq7tB6iznSnRWx5cgWcDKXtw19p5pQ75u1pHaU,Fully Allocated,158.2940,0.0000
12iEahsu1JWnPq9zz9Yfah4oiiYtVo47XzNvb1n7hHDWu,Fully Allocated,158.2940,0.0000
19Ka78vUooHvu8TvaDPpMGaaKBaLaXtiKcHiNjdYkhMn9,Fully Allocated,158.2940,0.0000
1GCWgyKEUGXtN14Bh7AbpTqgdMexaD2fLZMxTpEzboCVq,Fully Allocated,158.2940,0.0000
19UsnJMZNYCK45R4bzPqoX5SEjbopgtYuU8Cvcu9qqga5,Fully Allocated,158.2940,0.0000
1Ef6kTpJT2ZmQa2Y5vjfMSQNXhga4PHJ8Nq4ZxkS3ub5A,Fully Allocated,158.2940,0.0000
13wPe6nsFggAngehDvEz6iAZjahTo9oHa99ybFsp25xpG,Fully Allocated,158.2940,0.0000
1D59xM9NgVnFz8U6XqVNGbCiexSEfwF363rVxv8y1DC84,Fully Allocated,158.2940,0.0000
14SpCEk54Eo8gfzYJCkdq8eadStgi9wYxWGJ5hH4u7p8i,Fully Allocated,158.2940,0.0000
186ircQVUU6RkTJFPVNTzjun5JqPWA2d59WzgnEXwZjs8,Fully Allocated,158.2940,0.0000
1981tcqTXjQNuetnPPH2i6sSZEjM6vZ4Zux4pW2V1X3Eu,Fully Allocated,158.2940,0.0000
1Br1ZnDcksKUvUstQmtacEmiHvLRsXESC1RqYNPheGrS2,Fully Allocated,158.2940,0.0000
19hsBBHuX9YYAyeS5wdL5WWTV2aoZiPRaKyFMSDgbmmoD,Fully Allocated,158.2940,0.0000
1HiTnJP8CZgy6eLjfxrw5RScYCpTnPWo1QM669hw4AGu9,Fully Allocated,158.2940,0.0000
17LGtLrUugBoUn6ZWPiiN2tYP4cmfg2jWvtK3DpE64Egs,Fully Allocated,158.2940,0.0000
1Hqnmcg2ztpeodsd72F12RniNww4BHzAv94jasjXeUonr,Fully Allocated,158.2940,0.0000
1BzsBup8QuQ1TooWAwESgAHBa6qmStLwTvPi2bi6D9e7n,Fully Allocated,158.2940,0.0000
1DA3fz8MUBrXfxYiWvhy6vsXK9zoh5N33pJ12RFVTBRJK,Fully Allocated,158.2940,0.0000
17JQ8iKiFjBungaaU6giHHYiu3F4vvnCEguXrKCwN1A48,Fully Allocated,158.2940,0.0000
18avXzQFDWcCtn9WAhsvC13kn8asFpG3JDKhoL8XoM9Ee,Fully Allocated,158.2940,0.0000
17CtXeggovqgaJEvYzEs4sQKhvUvjLu95ZmD5jioKmtrv,Fully Allocated,158.2940,0.0000
17otU8cgHvbVXmubxrsbZFd6aS1XQ9f1CzjuzQm9pDTG3,Fully Allocated,158.2940,0.0000
1FsGnhN3TSAjazgE9mpfUHyQXULdrWasfhyGHGtVDWH37,Fully Allocated,158.2940,0.0000
1HPWyhvTHTdHGx9oKq3PD6p6hAUUCADab76eGPumiXqza,Fully Allocated,158.2940,0.0000
